date,open,high,low,close,volume
1445921340000,1878.4,1878.83,1877.37,1877.66,242.89
1445921400000,1877.66,1878.0,1876.03,1876.16,730.848
1445921460000,1876.57,1878.45,1876.17,1877.59,570.041
1445921520000,1877.59,1878.58,1877.19,1878.49,406.81
1445921580000,1878.6,1880.01,1878.36,1880.0,312.481
1445921640000,1880.0,1881.0,1879.2,1881.0,1015.34
1445921700000,1880.95,1881.99,1880.95,1881.92,629.894
1445921760000,1881.87,1882.33,1881.72,1882.0,180.542
1445921820000,1882.01,1883.13,1882.0,1882.96,423.186
1445921880000,1882.96,1883.55,1882.63,1883.04,114.635
1445921940000,1883.04,1884.0,1883.0,1883.8,429.271
1445922000000,1883.94,1884.97,1883.67,1883.91,468.869
1445922060000,1883.91,1884.77,1883.11,1883.64,265.792
1445922120000,1883.61,1884.97,1881.11,1883.95,545.796
1445922180000,1883.95,1885.61,1883.35,1884.95,929.506
1445922240000,1884.78,1885.01,1883.0,1883.82,674.502
1445922300000,1883.78,1884.26,1882.49,1883.0,271.376
1445922360000,1883.0,1883.28,1881.01,1881.62,277.406
1445922420000,1881.62,1881.99,1880.2,1880.71,479.167
1445922480000,1880.65,1881.64,1880.01,1880.29,338.765
1445922540000,1880.29,1882.3,1880.02,1882.2,494.76
1445922600000,1882.29,1883.28,1882.19,1882.98,276.011
1445922660000,1882.95,1884.8,1882.92,1884.8,408.398
1445922720000,1884.8,1885.0,1884.26,1884.63,434.29
1445922780000,1884.7,1885.42,1884.26,1885.07,409.674
1445922840000,1885.1,1885.61,1885.0,1885.28,135.886
1445922900000,1885.24,1886.0,1885.0,1885.52,538.119
1445922960000,1885.51,1886.0,1884.45,1884.9,431.543
1445923020000,1884.9,1885.0,1883.0,1883.08,330.144
1445923080000,1883.08,1883.64,1882.9,1883.35,253.091
1445923140000,1883.35,1884.0,1882.72,1883.42,311.11
1445923200000,1883.42,1883.42,1882.66,1883.21,149.436
1445923260000,1883.21,1883.36,1882.9,1882.9,111.383
1445923320000,1882.9,1883.0,1882.0,1882.08,212.064
1445923380000,1882.08,1882.08,1880.0,1880.18,597.279
1445923440000,1880.12,1880.66,1878.81,1880.5,537.706
1445923500000,1880.5,1881.53,1880.24,1880.3,263.56
1445923560000,1880.3,1880.75,1879.83,1880.26,342.085
1445923620000,1880.37,1881.0,1879.01,1879.25,202.08
1445923680000,1879.25,1879.5,1877.0,1877.37,508.146
1445923740000,1877.52,1877.54,1875.0,1875.96,1138.547
1445923800000,1875.96,1876.14,1875.1,1875.75,499.641
1445923860000,1875.75,1877.8,1875.66,1876.18,660.949
1445923920000,1876.17,1878.29,1875.76,1878.03,513.249
1445923980000,1878.05,1878.78,1876.7,1877.55,244.782
1445924040000,1877.55,1878.0,1877.52,1878.0,121.157
1445924100000,1878.0,1878.13,1877.64,1878.06,302.166
1445924160000,1878.06,1879.5,1877.93,1879.44,323.258
1445924220000,1879.44,1880.72,1879.4,1880.25,511.95
1445924280000,1880.24,1880.81,1879.14,1879.37,268.23
1445924340000,1879.37,1879.79,1879.14,1879.52,145.445
1445924400000,1879.52,1880.77,1879.5,1880.63,346.741
1445924460000,1880.63,1882.63,1880.18,1882.1,325.23
1445924520000,1882.07,1882.71,1881.54,1882.6,203.218
1445924580000,1882.61,1884.14,1882.01,1883.67,225.022
1445924640000,1883.98,1884.99,1883.56,1884.85,404.648
1445924700000,1884.86,1885.42,1884.5,1884.8,586.321
1445924760000,1884.75,1886.49,1884.74,1886.0,675.749
1445924820000,1885.69,1887.94,1885.58,1887.31,905.624
1445924880000,1887.43,1890.0,1886.27,1889.52,1118.456
1445924940000,1889.63,1893.8,1889.43,1893.27,1545.769
1445925120000,1897.73,1902.0,1897.73,1901.0,2702.616
1445925180000,1901.51,1902.0,1897.47,1898.07,1669.033
1445925240000,1898.07,1899.93,1895.94,1897.48,1131.306
1445925300000,1897.48,1902.55,1897.03,1902.55,1700.986
1445925420000,1909.93,1912.0,1904.64,1905.61,1188.022
1445925480000,1905.61,1907.23,1900.1,1906.79,1378.167
1445925540000,1906.98,1907.38,1902.45,1904.07,929.997
1445925600000,1904.07,1910.49,1904.07,1909.95,1213.415
1445925660000,1909.81,1910.47,1903.52,1904.87,1006.352
1445925720000,1904.59,1906.57,1904.59,1906.06,664.8
1445925780000,1906.05,1907.0,1902.91,1903.38,871.547
1445925840000,1903.38,1903.38,1898.19,1899.4,997.436
1445925900000,1899.4,1902.97,1898.36,1902.43,837.273
1445925960000,1902.68,1902.85,1901.02,1902.2,252.757
1445926020000,1902.46,1904.67,1902.16,1904.42,369.66
1445926080000,1904.42,1904.42,1902.21,1902.4,425.812
1445926140000,1902.4,1902.84,1900.0,1901.0,605.252
1445926200000,1901.0,1904.71,1900.41,1904.57,1093.337
1445926320000,1901.46,1902.13,1900.0,1902.13,665.564
1445926380000,1902.15,1905.0,1902.0,1904.68,671.173
1445926440000,1904.68,1904.77,1900.03,1900.45,655.909
1445926500000,1900.48,1904.0,1899.82,1903.98,632.809
1445926560000,1904.0,1904.88,1903.0,1903.0,306.665
1445926620000,1902.93,1902.93,1901.01,1902.54,402.573
1445926680000,1902.76,1903.5,1901.0,1901.99,233.989
1445926740000,1902.01,1903.16,1900.56,1900.97,263.172
1445926800000,1900.97,1901.01,1900.0,1900.01,456.985
1445926860000,1900.01,1900.64,1897.4,1899.93,492.149
1445926920000,1899.93,1902.38,1899.93,1901.78,441.907
1445926980000,1901.78,1902.2,1900.78,1901.07,351.815
1445927040000,1901.02,1902.66,1901.01,1901.93,296.006
